"Part","Value","Device","Package","Description","MF","MPN","OC_FARNELL","OC_NEWARK",
"C1","1u","CAP0402-CAP","0402-CAP","Capacitor","","","","",
"C2","0.1u","CAP0402-CAP","0402-CAP","Capacitor","","","","",
"C3","0.1u","CAP0402-CAP","0402-CAP","Capacitor","","","","",
"C4","0.1u","CAP0402-CAP","0402-CAP","Capacitor","","","","",
"C5","0.1u","CAP0402-CAP","0402-CAP","Capacitor","","","","",
"IC1","PCA9555RGER-NOPAD","PCA9555RGER-NOPAD","QFN50P400X400X100-25N-NOPAD","16-BIT I/O EXPANDER","","","","",
"IC2","PCA9555RGER-NOPAD","PCA9555RGER-NOPAD","QFN50P400X400X100-25N-NOPAD","16-BIT I/O EXPANDER","","","","",
"JP1","","P08","P08","","","","","",
"JP2","","P08","P08","","","","","",
"JP3","","P08","P08","","","","","",
"JP4","","P08","P08","","","","","",
"JP5","","P10","P10","","","","","",
"JP6","","P10","P10","","","","","",
"LOGO1","KIMERA_LOGO","KIMERA_LOGO","KIMERA_LOGO","","","","","",
"LOGO2","NOUKENSHA_LOGONIX","NOUKENSHA_LOGONIX","NOUKENSHA_LOGO_NIX","","","","","",
"LOGO3","OSHW_LOGONIX","OSHW_LOGONIX","OSHW_LOGO_NIX","Open Source Hardware Logo","","","","",
"R1","10K","RESISTOR0402-RES","0402-RES","Resistor","","","","",
"R2","22","RESISTOR0402-RES","0402-RES","Resistor","","","","",
"R3","22","RESISTOR0402-RES","0402-RES","Resistor","","","","",
"R4","4.7K","RESISTOR0402-RES","0402-RES","Resistor","","","","",
"R5","4.7K","RESISTOR0402-RES","0402-RES","Resistor","","","","",
"R6","10K","RESISTOR0402-RES","0402-RES","Resistor","","","","",
"U1","ATMEGA32U4QFN2","ATMEGA32U4QFN2","QFN-44-NOPAD","Atmel 44-pin 8-bit Microcontroller with 32KBytes of ISP Flash and USB Controller","","","","",
"Y1","CSTCR6M00G53Z","CSTCR6M00G53Z","CSTER12M","Resonator","","CSTCC12M0","1170434","25M8759",
